method,budget,n_train,n_seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std
multimodal,0.05,637,2,0.6495408832531702,0.01329496790162721,0.47562034280699084,0.031339413888211695,0.6337172905769959,0.002249004481916148
multimodal,0.1,1274,2,0.6517271534761697,0.00896637370109736,0.46216982338877355,0.027549239377873878,0.645402610898175,0.0028203356656355595
random,0.05,637,2,0.615435067774377,0.049778833306092764,0.3521067284644077,0.03203479135664737,0.5791257801871526,0.05387181488186923
random,0.1,1274,2,0.6515085264538697,0.011749041401438119,0.4580349523683769,0.01736524909800431,0.6291517919206633,0.020328451954290585
stratified,0.05,637,2,0.6510712724092698,0.00432859420052985,0.42209446758274893,0.03635074822752343,0.6464333103382204,0.010017021355003592
stratified,0.1,1274,2,0.6571928290336686,0.017314376802119242,0.46322199781831974,0.05137543592412596,0.6420571869858485,0.03187377050395999
vision,0.05,637,2,0.6031919545255793,0.04359512730533592,0.3880269313562097,0.04421565555650142,0.5991860501492379,0.04276549782836117
vision,0.1,1274,2,0.6676869261040664,0.024116453402951796,0.47250747862165243,0.04224315291338287,0.6579416388304331,0.012917183575047585
